Commune,Region,Departement,Nom_monument,Siecle,Latitude,Longitude
"Mailhoc,Occitanie,Tarn,Chateau,15e siecle;16e siecle,44.0081506231, 2.06522912054"
Pouylebon,Occitanie,Gers,Chateau,13e siecle,43.542366, 0.296414
"Avensac,Occitanie,Gers,Chateau,14e siecle;1ere moitie 19e siecle,43.830452, 0.906877"
"Espas,Occitanie,Gers,Chateau,12e siecle;13e siecle;17e siecle,43.781265, 0.067673"
"Saint-Hippolyte-de-Caton,Occitanie,Gard,Chateau,15e siecle;18e siecle,44.069994543, 4.20411151917"
"Maubourguet,Occitanie,Hautes-Pyrenees,Chateau,18e siecle;19e siecle,43.465633, 0.032828"
"Crampagna,Occitanie,Ariege,Chateau,13e siecle;14e siecle;16e siecle;18e siecle,43.0327621075, 1.6041765641"
"Salleles-d'Aude,Occitanie,Aude,Chateau,1ere moitie 16e siecle;17e siecle;18e siecle,43.2554004456, 2.9474241505"
"Brousse-le-Chateau,Occitanie,Aveyron,Chateau,12e siecle;16e siecle,43.9966777718, 2.62494801432"
"Aramon,Occitanie,Gard,Chateau,18e siecle;19e siecle,43.8928040953, 4.6815421162"
"Montegut-en-Couserans,Occitanie,Ariege,Chateau,1er quart 12e siecle;17e siecle,42.9811527814, 1.09802670377"
"Saint-Maximin,Occitanie,Gard,Chateau,Moyen Age;18e siecle,43.9936123282, 4.44992839872"
"Merens,Occitanie,Gers,Chateau,4e quart 13e siecle;1er quart 14e siecle;1er quart 17e siecle,43.753417, 0.536333"
"Saint-Blancard,Occitanie,Gers,Chateau,16e siecle;4e quart 19e siecle,43.349639, 0.661327"
"Beaufort,Occitanie,Herault,Chateau,16e siecle;17e siecle;18e siecle;19e siecle,43.2974261971, 2.75736126614"
"Les Junies,Occitanie,Lot,Chateau,13e siecle;16e siecle;18e siecle,44.5372208778, 1.23417310546"
"Labastide-Marnhac,Occitanie,Lot,Chateau,13e siecle;15e siecle,44.3872951695, 1.40342015779"
"Rieux-Minervois,Occitanie,Aude,Chateau,13e siecle;15e siecle;4e quart 16e siecle;17e siecle;18e siecle;19e siecle,43.2838194756, 2.58556322239"
"Cassaigne,Occitanie,Gers,Chateau,13e siecle;15e siecle;18e siecle,43.90253, 0.344893"
Garderes,Occitanie,Hautes-Pyrenees,Chateau,2e moitie 18e siecle,43.2803873188, -0.11138000621
Saveres,Occitanie,Haute-Garonne,Chateau,17e siecle,43.3703239264, 1.10391917511
"Saint-Clar-de-Riviere,Occitanie,Haute-Garonne,Chateau,3e quart 18e siecle;4e quart 19e siecle,43.4673816986, 1.21595087008"
Mauvaisin,Occitanie,Haute-Garonne,Chateau,18e siecle,43.3544310886, 1.55090616221
"Aynac,Occitanie,Lot,Chateau,2e moitie 16e siecle;1ere moitie 17e siecle;19e siecle,44.7833592481, 1.8506127885"
Labastide-Murat,Occitanie,Lot,Chateau,3e quart 19e siecle,44.6404302997, 1.55963962174
"Foix,Occitanie,Ariege,Chateau,12e siecle;1er quart 19e siecle,42.9655472615, 1.60476900884"
Fressac,Occitanie,Gard,Chateau,13e siecle,43.9926991784, 3.91710988383
Lagarde,Occitanie,Gers,Chateau,17e siecle,43.969966, 0.563694
Betplan,Occitanie,Gers,Chateau,1ere moitie 17e siecle,43.41338, 0.200517
Mayrac,Occitanie,Lot,Chateau,2e moitie 15e siecle,44.8992062479, 1.55864564911
Assier,Occitanie,Lot,Chateau,16e siecle,44.6747834423, 1.87884825427
Gensac-sur-Garonne,Occitanie,Haute-Garonne,Chateau,18e siecle,43.2180187324, 1.12961485288
"Laroque,Occitanie,Herault,Chateau,11e siecle;12e siecle,43.9224008349, 3.72381843111"
"Reynies,Occitanie,Tarn-et-Garonne,Chateau,13e siecle;17e siecle;18e siecle,43.9159748509, 1.3952699451"
Cavanac,Occitanie,Aude,Chateau,18e siecle,43.1678000168, 2.32711546295
"Juzes,Occitanie,Haute-Garonne,Chateau,14e siecle;16e siecle,43.449248589, 1.78893538739"
Vallegue,Occitanie,Haute-Garonne,Chateau,Moyen Age,43.4244179524, 1.75450646697
Balsac,Occitanie,Aveyron,Chateau,16e siecle,44.4022265099, 2.44331699689
"Terraube,Occitanie,Gers,Chateau,13e siecle;14e siecle;16e siecle;4e quart 17e siecle;18e siecle,43.90354, 0.53255"
"Horgues,Occitanie,Hautes-Pyrenees,Chateau,15e siecle;16e siecle;18e siecle;19e siecle,43.188726, 0.078489"
"Senergues,Occitanie,Aveyron,Chateau,11e siecle;12e siecle,44.6055567045, 2.48594543818"
"Roquevidal,Occitanie,Tarn,Chateau,14e siecle;15e siecle;16e siecle,43.6246373038, 1.87879272766"
"Vaillac,Occitanie,Lot,Chateau,14e siecle;15e siecle;16e siecle;17e siecle,44.6737636883, 1.53215084553"
Montfaucon,Occitanie,Gard,Chateau,12e siecle,44.0759078557, 4.75494174569
Lunel-Viel,Occitanie,Herault,Chateau,2e moitie 19e siecle,43.6794282495, 4.09296423046
Saint-Paul-d'Oueil,Occitanie,Haute-Garonne,Chateau,16e siecle,42.82637, 0.549896
"Laroque-des-Arcs,Occitanie,Lot,Chateau,12e siecle;16e siecle,44.4724970716, 1.45156637518"
"Roquecourbe-Minervois,Occitanie,Aude,Chateau,18e siecle;1ere moitie 20e siecle,43.2205495814, 2.64841061973"
"Agel,Occitanie,Herault,Chateau,4e quart 16e siecle;1er quart 17e siecle;18e siecle;19e siecle,43.3382628145, 2.85336169066"
"Saint-Quentin-la-Tour,Occitanie,Ariege,Chateau,12e siecle;14e siecle;16e siecle;18e siecle,43.0380921457, 1.90665288662"
Saint-Leonard,Occitanie,Gers,Chateau,18e siecle,43.85824, 0.768877
Homps,Occitanie,Gers,Chateau,4e quart 13e siecle,43.812592, 0.843403
"Saint-Izaire,Occitanie,Aveyron,Chateau,1ere moitie 14e siecle;17e siecle,43.97530935, 2.71967969412"
"Portes,Occitanie,Gard,Chateau,13e siecle;15e siecle;16e siecle;17e siecle,44.2680816965, 4.02721206885"
"Montferrier-sur-Lez,Occitanie,Herault,Chateau,17e siecle;18e siecle,43.6666676796, 3.86135140562"
"Saint-Sulpice,Occitanie,Lot,Chateau,12e siecle;13e siecle;17e siecle,44.5702727579, 1.78806114406"
"Salvagnac-Cajarc,Occitanie,Aveyron,Chateau,13e siecle;15e siecle,44.4753099893, 1.84717146242"
"Castelferrus,Occitanie,Tarn-et-Garonne,Chateau,14e siecle;17e siecle,44.0108162463, 1.08599901852"
"Mezerville,Occitanie,Aude,Chateau,15e siecle;16e siecle;17e siecle,43.2598628928, 1.79308805672"
"Baraigne,Occitanie,Aude,Chateau,16e siecle;17e siecle,43.3300219146, 1.82089882806"
"Belflou,Occitanie,Aude,Chateau,15e siecle;18e siecle;19e siecle,43.3186961868, 1.78671739032"
"Montjaux,Occitanie,Aveyron,Chateau,15e siecle;17e siecle;19e siecle;20e siecle,44.1020632763, 2.89882148663"
"Fozieres,Occitanie,Herault,Chateau,12e siecle;1er quart 17e siecle,43.7517919121, 3.35665282498"
Montdardier,Occitanie,Gard,Chateau,3e quart 19e siecle,43.9281092597, 3.59285835912
Bezeril,Occitanie,Gers,Chateau,18e siecle,43.532378, 0.879819
Payra-sur-l'Hers,Occitanie,Aude,Chateau,16e siecle,43.2661223597, 1.85520694619
"Corbere,Occitanie,Pyrenees-Orientales,Chateau,10e siecle;15e siecle,42.6502935828, 2.65777611301"
"Saint-Saturnin,Occitanie,Lozere,Chateau,14e siecle;16e siecle;1er quart 17e siecle,44.4120417289, 3.18880259612"
"La Serpent,Occitanie,Aude,Chateau,2e moitie 17e siecle;18e siecle,42.9684174678, 2.18330733291"
L'Isle-de-Noe,Occitanie,Gers,Chateau,1ere moitie 18e siecle,43.586028, 0.423935
Lezignan-la-Cebe,Occitanie,Herault,Chateau,17e siecle,43.493284404, 3.43918148817
Garrevaques,Occitanie,Tarn,Chateau,19e siecle,43.491983, 1.989167
Cahuzac,Occitanie,Aude,Chateau,3e quart 18e siecle,43.1896857378, 1.85117209223
Coupiac,Occitanie,Aveyron,Chateau,13e siecle,43.9541190946, 2.58139129627
Guran,Occitanie,Haute-Garonne,Chateau,17e siecle,42.883802, 0.617363
"Pomas,Occitanie,Aude,Chateau,15e siecle;16e siecle;17e siecle,43.1110983584, 2.29142658409"
Buzignargues,Occitanie,Herault,Chateau,17e siecle,43.7712736964, 4.00568107987
"Beaucaire,Occitanie,Gard,Chateau,Moyen Age;12e siecle;16e siecle,43.8098849544, 4.64431917973"
"Lavercantiere,Occitanie,Lot,Chateau,17e siecle;18e siecle,44.6368175337, 1.31738128123"
Lavalette,Occitanie,Herault,Chateau,2e quart 17e siecle,43.6916814052, 3.27224096071
Saint-Ferriol,Occitanie,Aude,Chateau,17e siecle,42.8917959084, 2.22483857083
Roquefere,Occitanie,Aude,Chateau,17e siecle,43.3734901341, 2.37806745787
Generac,Occitanie,Gard,Chateau,Milieu 16e siecle,43.7257488145, 4.3485648402
"Labastide-Beauvoir,Occitanie,Haute-Garonne,Chateau,18e siecle;19e siecle,43.4796475743, 1.66180204406"
"Montlaur,Occitanie,Haute-Garonne,Chateau,16e siecle;17e siecle;19e siecle,43.4840508385, 1.57708951564"
"Saint-Alban-sur-Limagnole,Occitanie,Lozere,Chateau,15e siecle;16e siecle;17e siecle,44.7817582228, 3.38952054342"
Bouilhonnac,Occitanie,Aude,Chateau,1ere moitie 16e siecle,43.2321036354, 2.43993303114
"Sorbs,Occitanie,Herault,Chateau,2e moitie 16e siecle;1er quart 17e siecle,43.8927291752, 3.40738452723"
Saint-Jory,Occitanie,Haute-Garonne,Chateau,16e siecle,43.7435033118, 1.37094888568
"Arzens,Occitanie,Aude,Chateau,15e siecle;16e siecle,43.1998963228, 2.20966863611"
"Airoux,Occitanie,Aude,Chateau,16e siecle;17e siecle,43.3628484899, 1.86622927959"
Saint-Martin-d'Armagnac,Occitanie,Gers,Chateau,3e quart 16e siecle,43.7074673228, -0.0675711375929
Arboras,Occitanie,Herault,Chateau,17e siecle,43.7105734178, 3.48489375178
