Commune,Region,Departement,Nom_monument,Siecle,Latitude,Longitude
Laon,Hauts-de-France,Aisne,Rotonde et halle-atelier ferroviaires,20e siecle,49.5770293986, 3.60639587171
"Margival;Laffaux;""Neuville-sur-Margival,Hauts-de-France,Aisne,""Camp fortifie dit """""""""""""""" Wolfschlucht 2 """""""""""""""" ou """""""""""""""" W 2 """""""""""""""""""""""""",2e quart 20e siecle,49.4990223898744,"" 3.28389724568721"""""""
"Largny-sur-Automne,Hauts-de-France,Aisne,Domaine des Charmettes; dit propriete Castellant,2e quart 19e siecle;4e quart 19e siecle,49.2591959882, 3.03491612417"
Liesse-Notre-Dame,Hauts-de-France,Aisne,Presbytere,3e quart 17e siecle,49.6100167966, 3.80449190248
"Laon,Hauts-de-France,Aisne,Ancienne cathedrale; actuellement eglise Notre-Dame; et cloitre,12e siecle;13e siecle,49.572408, 3.631455"
Crepy,Hauts-de-France,Aisne,Plate-forme d'artillerie (emplacement du canon allemand dit la Grosse Bertha),1er quart 20e siecle,49.6227918129, 3.50624890442
Conde-sur-Suippe,Hauts-de-France,Aisne,Oppidum de Variscourt (egalement sur commune de Variscourt),Republique romaine,49.418683, 3.943966
Pancy-Courtecon,Hauts-de-France,Aisne,Monument commemoratif franco-allemand,1er quart 20e siecle,49.465988, 3.647319
"Fresnoy-le-Grand,Hauts-de-France,Aisne,Usine textile La Filandiere,19e siecle;20e siecle,49.949336, 3.411759"
Margival,Hauts-de-France,Aisne,Ferme de Montgarny,1ere moitie 20e siecle,49.4399375069, 3.39161611411
Coucy-le-Chateau-Auffrique,Hauts-de-France,Aisne,Ancienne Maison du Gouverneur,17e siecle,49.5199872303, 3.32459175947
"Seringes-et-Nesles,Hauts-de-France,Aisne,Ruines du chateau de Nesles,13e siecle;14e siecle,49.2044087653, 3.56952682043"
Saponay,Hauts-de-France,Aisne,Restes du chateau,13e siecle,49.2140561537, 3.47959616032
"Longpont,Hauts-de-France,Aisne,Ancienne abbaye,13e siecle;18e siecle,49.287676, 3.220061"
Chery-Chartreuve,Hauts-de-France,Aisne,Ancienne chapelle de la Ferme des Dames,limite 12e siecle 13e siecle,49.254594, 3.607175
Saint-Quentin,Hauts-de-France,Aisne,Monument du cimetiere militaire allemand,1er quart 20e siecle,49.847131, 3.264323
Laon,Hauts-de-France,Aisne,Porte de Soissons ou de Saint-Martin,13e siecle,49.560667, 3.610663
"Armentieres-sur-Ourcq,Hauts-de-France,Aisne,Ruines du chateau d'Armentieres avec sa poterne,12e siecle;14e siecle;15e siecle;16e siecle,49.185627134, 3.38267484608"
"Droizy,Hauts-de-France,Aisne,Ancien chateau,14e siecle;15e siecle;16e siecle,49.273605, 3.394636"
Plomion,Hauts-de-France,Aisne,Halle,1er quart 19e siecle,49.8075828407, 4.01862341067
"Lesges,Hauts-de-France,Aisne,Ancienne maison prevotale; puis ferme,14e siecle;16e siecle,49.3057613777, 3.50354877629"
Leme,Hauts-de-France,Aisne,Cimetiere franco-allemand de Le Sourd,20e siecle,49.839035, 3.768785
Bosmont-sur-Serre,Hauts-de-France,Aisne,Chateau de Chambly,4e quart 17e siecle,49.739619, 3.863222
Roucy,Hauts-de-France,Aisne,Ancien prieure,13e siecle,49.3716894133, 3.81460392874
Aisonville-et-Bernoville,Hauts-de-France,Aisne,Chateau de Bernoville,1er quart 18e siecle,49.931552, 3.517244
"Villers-Cotterets,Hauts-de-France,Aisne,Ancienne chartreuse de Bourgfontaine,14e siecle;15e siecle;17e siecle;18e siecle,49.2080750264, 3.0940078576"
Beaurevoir,Hauts-de-France,Aisne,Ancien chateau,1er quart 14e siecle,49.994929, 3.331962
Monthenault,Hauts-de-France,Aisne,Eglise Saint-Martin,1ere moitie 20e siecle,49.48817, 3.653406
"Braine,Hauts-de-France,Aisne,Ancienne abbaye de Saint-Yved,12e siecle;13e siecle;15e siecle,49.341346, 3.541469"
"Bucy-le-Long,Hauts-de-France,Aisne,Eglise Saint-Martin,12e siecle;15e siecle;16e siecle,49.394706241, 3.39161796534"
"Dravegny,Hauts-de-France,Aisne,Grange de Montaon,2e moitie 13e siecle;16e siecle,49.239863, 3.642077"
"Sissy,Hauts-de-France,Aisne,Chapelle dite des Dormants,14e siecle;15e siecle;16e siecle,49.8049221859, 3.43550421631"
"Cuissy-et-Geny,Hauts-de-France,Aisne,Ancienne abbaye de Cuissy,17e siecle;18e siecle,49.4029973578, 3.71401453412"
Soissons,Hauts-de-France,Aisne,Ancienne abbaye Saint-Medard,13e siecle,49.3831168503, 3.34434666704
Bois-les-Pargny,Hauts-de-France,Aisne,Ancien chateau,17e siecle,49.7322447084, 3.64862054266
Chateau-Thierry,Hauts-de-France,Aisne,Porte Saint-Pierre,13e siecle,49.0481880473, 3.40611680596
Chivres-Val,Hauts-de-France,Aisne,Fort de Conde (egalement sur commune de Conde-sur-Aisne),4e quart 19e siecle,49.403748, 3.431653
Soissons,Hauts-de-France,Aisne,Salle des Feuillants,2e quart 20e siecle,49.379144, 3.329793
"Saint-Christophe-à&nbsp;-Berry,Hauts-de-France,Aisne,P.C. Reboul,1er quart 20e siecle,49.419190471, 3.13876821078"
"Bruyeres-et-Montberault,Hauts-de-France,Aisne,Eglise Notre-Dame,12e siecle;13e siecle,49.5245833547, 3.66396559952"
"Marle,Hauts-de-France,Aisne,Eglise Notre-Dame,12e siecle;13e siecle;14e siecle,49.7403402603, 3.77064555361"
"Liesse-Notre-Dame,Hauts-de-France,Aisne,Basilique Notre-Dame,14e siecle;15e siecle;16e siecle;17e siecle,49.615647, 3.810602"
"Vauxrezis,Hauts-de-France,Aisne,Eglise Saint-Maurice d'Agaune,1er quart 12e siecle;16e siecle;18e siecle;2e quart 20e siecle,49.4137135865, 3.27986675989"
"Prisces,Hauts-de-France,Aisne,Eglise Saint-Medard,12e siecle;17e siecle,49.7800451517, 3.86210578603"
Vendhuile,Hauts-de-France,Aisne,Eglise Saint-Martin,2e quart 20e siecle,50.0109617357, 3.20773622515
"Soissons,Hauts-de-France,Aisne,Ancienne abbaye Saint-Leger,13e siecle;14e siecle,49.3845186862, 3.32769798258"
Saint-Quentin,Hauts-de-France,Aisne,Puits,1er quart 18e siecle,49.8461400563, 3.28782117626
Mauregny-en-Haye,Hauts-de-France,Aisne,Ancien chateau,1ere moitie 17e siecle,49.5292183197, 3.79865675491
Orgeval,Hauts-de-France,Aisne,Vendangeoir,18e siecle,49.5072904981, 3.70238880496
Buzancy,Hauts-de-France,Aisne,Monument des Ecossais au Brisquet,1er quart 20e siecle,49.3146351171, 3.34162520946
Saint-Quentin,Hauts-de-France,Aisne,Gare,2e quart 20e siecle,49.8399530781, 3.29704652884
Blerancourt,Hauts-de-France,Aisne,Ancien chateau,17e siecle,49.5152114252, 3.15207292084
Chateau-Thierry,Hauts-de-France,Aisne,Anciens remparts,13e siecle,49.0475524292, 3.40634072814
"Monnes,Hauts-de-France,Aisne,Ruines de l'eglise de Cointicourt,13e siecle;16e siecle,49.144904, 3.221539"
"Viel-Arcy,Hauts-de-France,Aisne,Eglise et ancien cimetiere communal,12e siecle;13e siecle;15e siecle,49.381959, 3.635765"
"Mont-Notre-Dame,Hauts-de-France,Aisne,Eglise paroissiale Sainte Marie-Madeleine,12e siecle;13e siecle;2e quart 20e siecle,49.284037, 3.576855"
"Montigny-l'Allier,Hauts-de-France,Aisne,Ancienne commanderie de templiers de Moisy,13e siecle;16e siecle,49.112611, 3.094284"
Cerny-les-Bucy,Hauts-de-France,Aisne,Ancien donjon,15e siecle,49.577909, 3.546881
"Laon,Hauts-de-France,Aisne,Ecole de la Providence,16e siecle;17e siecle,49.5623763772, 3.62760759248"
Crecy-sur-Serre,Hauts-de-France,Aisne,Maison du 17e siecle,2e quart 17e siecle,49.696736, 3.622734
"Paars,Hauts-de-France,Aisne,Domaine du chateau,2e moitie 18e siecle;19e siecle,49.3288935626, 3.59732158216"
"Saint-Quentin,Hauts-de-France,Aisne,Usine Sidoux,4e quart 19e siecle;1er quart 20e siecle,49.854458, 3.292993"
Ribemont,Hauts-de-France,Aisne,Maison natale de Condorcet,1ere moitie 18e siecle,49.7967021218, 3.46108859765
Ferte-Chevresis(La),Hauts-de-France,Aisne,Ancienne salle de spectacles dite Casino,19e siecle,49.7358312632, 3.55869781563
"Noircourt,Hauts-de-France,Aisne,Eglise Notre-Dame-de-l'Esperance,16e siecle;17e siecle,49.6668376977, 4.09221541309"
"Laon,Hauts-de-France,Aisne,Eglise de Vaux-sous-Laon,12e siecle;13e siecle,49.568297, 3.633682"
Aulnois-sous-Laon,Hauts-de-France,Aisne,Ancien chateau feodal,13e siecle,49.616681, 3.615878
"Aubenton,Hauts-de-France,Aisne,Manoir,1er quart 17e siecle;18e siecle,49.835455, 4.206953"
Tergnier,Hauts-de-France,Aisne,Place Carnegie de Fargniers,1ere moitie 20e siecle,49.65832, 3.314416
Oulchy-le-Chateau,Hauts-de-France,Aisne,Eglise de Cugny-les-Crouttes,13e siecle,49.202344701, 3.38678286475
"Vigneux-Hocquet,Hauts-de-France,Aisne,Eglise Saint-Martin,16e siecle;17e siecle,49.7402982578, 3.9916627705"
"Marizy-Saint-Mard,Hauts-de-France,Aisne,Ancien chateau,4e quart 13e siecle;14e siecle;15e siecle;17e siecle,49.1808430675, 3.22441903969"
Laon,Hauts-de-France,Aisne,Ancien couvent des Dames de la Congregation Notre-Dame,2e moitie 17e siecle,49.5650928921, 3.61490117739
Laon,Hauts-de-France,Aisne,Ancien colombier des Eveques de Laon,17e siecle,49.5684527391, 3.63018819133
"Epieds,Hauts-de-France,Aisne,Chateau et ferme de Moucheton,16e siecle;17e siecle;18e siecle;19e siecle,49.106893, 3.454625"
"Haramont,Hauts-de-France,Aisne,Ancien prieure de Longpre,16e siecle;18e siecle,49.271591752, 3.03571576128"
"Gronard,Hauts-de-France,Aisne,Eglise Saint-Thious,16e siecle;17e siecle,49.793796, 3.877867"
Bosmont-sur-Serre,Hauts-de-France,Aisne,Ancien abri allemand dit du Kaiser,1er quart 20e siecle,49.7256612081, 3.85435690438
Soissons,Hauts-de-France,Aisne,Remparts romains,Gallo-romain,49.3798305856, 3.32546688808
"Vailly-sur-Aisne,Hauts-de-France,Aisne,Chapelle de la carriere de Rouge-Maison,19e siecle;1er quart 20e siecle,49.4186149699, 3.53504787601"
"Royaucourt-et-Chailvet,Hauts-de-France,Aisne,Ancien chateau,16e siecle;18e siecle,49.5131759102, 3.53493381648"
Nouvron-Vingre,Hauts-de-France,Aisne,Monument des Fusilles,1ere moitie 20e siecle,49.4284502303, 3.17327890385
"Septmonts,Hauts-de-France,Aisne,Chateau de Septmonts,13e siecle;14e siecle;15e siecle;16e siecle,49.3352762517, 3.35945860715"
"Vermand,Hauts-de-France,Aisne,Camp romain,Antiquite;Age du fer;Gallo-romain,49.882044, 3.148532"
Laon,Hauts-de-France,Aisne,Maison (ancienne direction des PTT),17e siecle,49.562638, 3.626485
La Fere,Hauts-de-France,Aisne,musee Jeanne d'Aboville,21e siecle,49.661954,3.367748
Chateau-Thierry,Hauts-de-France,Aisne,musee Jean de la Fontaine,21e siecle,49.046927,3.400289
Origny-en-Thierache,Hauts-de-France,Aisne,musee Monseigneur Pigneau de Behaine,21e siecle,49.896025,4.022381
Saint-Michel-en-Thierache,Hauts-de-France,Aisne,musee de la vie rurale et forestiere,21e siecle,49.922563,4.134763
Soissons,Hauts-de-France,Aisne,musee municipal,21e siecle,49.384539,3.327233
Blerancourt,Hauts-de-France,Aisne,musee franco-americain du chateau de Blerancourt,21e siecle,49.516035,3.150459
Hirson,Hauts-de-France,Aisne,musee - centre de documentation Alfred Desmasures,21e siecle,49.921047,4.083876
Laon,Hauts-de-France,Aisne,musee archeologique municipale,21e siecle,49.563206,3.626781
Vervins,Hauts-de-France,Aisne,musee de la Thierache,21e siecle,49.834696,3.907684
Villers-Cotterets,Hauts-de-France,Aisne,musee Alexandre Dumas,21e siecle,49.253009,3.089691
Chauny,Hauts-de-France,Aisne,musee bibliotheque,21e siecle,49.615394,3.216814
Guise,Hauts-de-France,Aisne,Familistere de Guise,21e siecle,49.903647,3.626529
Saint-Quentin,Hauts-de-France,Aisne,musee des beaux-arts Antoine Lecuyer,21e siecle,49.849891,3.285398
Saint-Quentin,Hauts-de-France,Aisne,musee entomologique,21e siecle,49.84595,3.288944
Tergnier,Hauts-de-France,Aisne,musee de la resistance et de la deportation,21e siecle,49.65875,3.315011
"Picquigny,Hauts-de-France,Somme,Eglise dite collegiale Saint-Martin,13e siecle;15e siecle,49.9429175021, 2.14232346099"
Saint-Gratien,Hauts-de-France,Somme,Domaine de Saint-Gratien,4e quart 18e siecle,49.9636952714, 2.41057046603
Saint-Riquier,Hauts-de-France,Somme,Maison dite de Napoleon Ier,2e quart 19e siecle,50.1332019437, 1.94683767401
Amiens,Hauts-de-France,Somme,Eglise Saint-Acheul,18e siecle,49.8831669882, 2.32467473712
Amiens,Hauts-de-France,Somme,Gisement quaternaire,Paleolithique ancien,49.9025248832, 2.2361193931
Abbeville,Hauts-de-France,Somme,Ancien prieure Saint-Pierre et Saint-Paul,2e moitie 18e siecle,50.1090695996, 1.8355985217
Belloy-sur-Somme,Hauts-de-France,Somme,Chateau d'En Haut,4e quart 18e siecle,49.9698569602, 2.13803657451
"Ham,Hauts-de-France,Somme,Ruines du chateau,15e siecle;16e siecle,49.7434469642, 3.07310237844"
"Bouttencourt,Hauts-de-France,Somme,Ancienne abbaye de Sery,17e siecle;18e siecle,49.9431379559, 1.61352693822"
Ovillers-la-Boisselle,Hauts-de-France,Somme,Entonnoir de mines de La Boisselle,1er quart 20e siecle,50.0155487178, 2.69742596854
"Amiens,Hauts-de-France,Somme,Manufacture de Velours et Coton Cosserat,2e moitie 19e siecle;1er quart 20e siecle,49.9085868956, 2.27555930835"
"Hescamps,Hauts-de-France,Somme,Eglise Saint-Vast d'Agnieres,limite 12e siecle 13e siecle;16e siecle,49.714793801, 1.90425373396"
Vitz-sur-Authie,Hauts-de-France,Somme,Eglise Saint-Martin,18e siecle,50.2512326596, 2.0621723237
"Ham,Hauts-de-France,Somme,Eglise Notre-Dame et la crypte,limite 12e siecle 13e siecle;17e siecle,49.749913405, 3.07200445383"
Contay,Hauts-de-France,Somme,Chateau de Contay,18e siecle,50.0060763818, 2.4803953348
"Erondelle,Hauts-de-France,Somme,Camp romain (egalement sur commune de Liercourt),Antiquite;Protohistoire;Gallo-romain,50.0405821514, 1.8869071413"
Amiens,Hauts-de-France,Somme,Immeubles,13e siecle,49.8961043066, 2.29372482397
La Chaussee-Tirancourt,Hauts-de-France,Somme,Oppidum dit Camp de Cesar,Antiquite,49.9499918066, 2.1785831331
Havernas,Hauts-de-France,Somme,Calvaire,17e siecle,50.0362171104, 2.23573515009
"Rambures,Hauts-de-France,Somme,Domaine du chateau de Rambures,15e siecle;milieu 18e siecle;19e siecle,49.9429356066, 1.70790404129"
Doullens,Hauts-de-France,Somme,Musee Lombart,1er quart 20e siecle,50.1543020732, 2.34359303929
Amiens,Hauts-de-France,Somme,Restes de l'abbaye Saint-Jean-des-Premontres,18e siecle,49.8925883612, 2.29053634081
"Ault,Hauts-de-France,Somme,Eglise Saint-Pierre,14e siecle;15e siecle;18e siecle,50.1006920431, 1.44837989309"
Le Translay,Hauts-de-France,Somme,Chateau de Busmenard,milieu 18e siecle,49.9714262089, 1.65277724264
Conty,Hauts-de-France,Somme,Chateau de Wailly,18e siecle,49.7671706568, 2.15688238337
Ovillers-la-Boisselle,Hauts-de-France,Somme,Memorial de Pozieres,20e siecle,50.0341314886, 2.71511875852
Rue,Hauts-de-France,Somme,Beffroi,15e siecle,50.2726418485, 1.66874112361
Heilly,Hauts-de-France,Somme,Chateau d'Heilly (egalement sur commune de Ribemont-sur-Ancre),18e siecle,49.95452694, 2.54847461853
"Meaulte,Hauts-de-France,Somme,Propriete du constructeur d'avions Henry Potez; dite Domaine du Vivier (egalement sur commune d'Albert),2e quart 20e siecle,49.9833055981, 2.64750791276"
"Liercourt,Hauts-de-France,Somme,Camp romain (egalement sur commune de Erondelles),Antiquite;Protohistoire,50.038822, 1.902571"
"Mareuil-Caubert,Hauts-de-France,Somme,Eglise Saint-Christophe,12e siecle;16e siecle,50.0682551936, 1.83015177842"
Heilly,Hauts-de-France,Somme,Eglise d'Heilly,2e moitie 18e siecle,49.9537930084, 2.53681517199
Amiens,Hauts-de-France,Somme,Palais de Justice,2e moitie 19e siecle,49.8927024702, 2.30149385236
Moyenneville,Hauts-de-France,Somme,Ferme de Valanglart,3e quart 19e siecle,50.0701061788, 1.75070735011
Saint-Valery-sur-Somme,Hauts-de-France,Somme,Eglise Saint-Martin,13e siecle,50.1884993053, 1.63055458139
"Saint-Riquier,Hauts-de-France,Somme,Ancienne abbaye,15e siecle;16e siecle,50.1338776915, 1.94815454371"
"Fransu,Hauts-de-France,Somme,Chateau de Fransu,4e quart 18e siecle;1ere moitie 19e siecle,50.1099859771, 2.09015960609"
"Beauval,Hauts-de-France,Somme,Anciens bureaux et logements du directeur et du concierge de l'usine Saint Freres,19e siecle;20e siecle,50.1149322412, 2.34112251505"
Roye,Hauts-de-France,Somme,Anciens remparts,Moyen Age,49.69714564, 2.78716260264
La Chavatte,Hauts-de-France,Somme,Blockhaus allemand,1ere moitie 20e siecle,49.7569162415, 2.76324912028
"Argoules,Hauts-de-France,Somme,Chateau d'Argoules,16e siecle;19e siecle,50.3415892843, 1.83614386549"
Cayeux-sur-Mer,Hauts-de-France,Somme,Abri du canot de sauvetage Benoit Champy,3e quart 19e siecle,50.184724034, 1.49517111403
Pont-Noyelles,Hauts-de-France,Somme,Colonne Faidherbe,2e moitie 19e siecle,49.9425349805, 2.45197705101
Longueau,Hauts-de-France,Somme,Rotonde ferroviaire,1ere moitie 20e siecle,49.8722087338, 2.34825428224
"Havernas,Hauts-de-France,Somme,Chateau d'Havernas,17e siecle;2e moitie 19e siecle,50.0350102375, 2.23330858544"
Citerne,Hauts-de-France,Somme,Moulin d'Yonville,3e quart 19e siecle,49.976580611, 1.80842860124
"Amiens,Hauts-de-France,Somme,Moulin Passe-Avant,16e siecle;18e siecle;19e siecle,49.9007005702, 2.30028126385"
"Amiens,Hauts-de-France,Somme,Eglise Saint-Remi et couvent des Cordeliers,4e quart 19e siecle;1ere moitie 20e siecle,49.891986721, 2.29657261384"
Quevauvillers,Hauts-de-France,Somme,Chateau (Vieux et Grand),18e siecle,49.8261791222, 2.08020305065
Lamotte-Warfusee,Hauts-de-France,Somme,Eglise Saint-Pierre de Lamotte,2e quart 20e siecle,49.8714627331, 2.59864662999
"Heucourt-Croquoison,Hauts-de-France,Somme,Eglise de Croquoison,15e siecle;16e siecle,49.9208571899, 1.88187727889"
Amiens,Hauts-de-France,Somme,Maison Cozette,4e quart 18e siecle,49.8978727564, 2.29629057409
Hangest-en-Santerre,Hauts-de-France,Somme,Eglise Saint-Martin,2e quart 20e siecle,49.7542755909, 2.60351466877
Eaucourt-sur-Somme,Hauts-de-France,Somme,Restes du chateau,15e siecle,50.0612756935, 1.88252657772
"Croix-Moligneaux,Hauts-de-France,Somme,Eglise Saint-Medard,11e siecle;12e siecle,49.8155876269, 3.00244774938"
"Saint-Maxent,Hauts-de-France,Somme,Moulin à&nbsp; vent,14e siecle,50.0112303472, 1.73427123021"
Boves,Hauts-de-France,Somme,Eglise Saint-Nicolas,1er quart 19e siecle,49.8445720528, 2.38255936424
Sains-en-Amienois,Hauts-de-France,Somme,Domaine de La Roseraie,3e quart du 19e siecle,49.8127858846, 2.32182661903
"Saint-Riquier,Hauts-de-France,Somme,Beffroi,13e siecle;17e siecle,50.1343229343, 1.9463386242"
Hornoy-le-Bourg,Hauts-de-France,Somme,Halle en bois,3e quart 16e siecle,49.8458660002, 1.89879381578
"Doullens,Hauts-de-France,Somme,Ancienne maison communale,16e siecle;17e siecle,50.1553779714, 2.34101562484"
Prouzel,Hauts-de-France,Somme,Chateau et son parc,18e siecle,49.8188698312, 2.19932825249
"Yvrench,Hauts-de-France,Somme,Eglise Saint-Martin,16e siecle;2e quart 19e siecle,50.1785263566, 2.00347709886"
"Ailly-le-Haut-Clocher,Hauts-de-France,Somme,Eglise de l'Assomption,13e siecle;14e siecle;15e siecle;16e siecle,50.0758756252, 1.9950596808"
"Behen,Hauts-de-France,Somme,Manoir et ferme des Alleux,16e siecle;17e siecle;19e siecle,50.0437181306, 1.76710058863"
Mers-les-Bains,Hauts-de-France,Somme,Villa Rip,4e quart 19e siecle,50.0655046063, 1.38160442865
"Amiens,Hauts-de-France,Somme,Imprimerie Yvert,2e moitie 18e siecle;milieu 19e siecle;1ere moitie 20e siecle,49.8924814046, 2.29941139154"
"Bouttencourt,Hauts-de-France,Somme,Eglise Saint-Etienne,13e siecle;14e siecle;15e siecle;16e siecle,49.9454746956, 1.61294462967"
Avesnes-Chaussoy,Hauts-de-France,Somme,Chateau d'Avesnes,18e siecle,49.9005458767, 1.87052070869
"Senarpont,Hauts-de-France,Somme,Eglise Saint-Denis,12e siecle;16e siecle;19e siecle,49.8886426937, 1.71628120813"
"Frucourt,Hauts-de-France,Somme,Moulin à&nbsp; vent,17e siecle,49.9890805772, 1.80767195562"
"Long,Hauts-de-France,Somme,Eglise Saint-Jean-Baptiste,16e siecle;17e siecle;milieu 19e siecle,50.0397958011, 1.98188599525"
Morvillers-Saint-Saturnin,Hauts-de-France,Somme,Chateau de Digeon,3e quart 19e siecle,49.7642040671, 1.7941799233
Mers-les-Bains,Hauts-de-France,Somme,Magasins de la rue Jules-Barn,2e moitie 19e siecle,50.0677204371, 1.38688354631
"Franleu,Hauts-de-France,Somme,Eglise Saint-Martin,limite 12e siecle 13e siecle;limite 15e siecle 16e siecle;17e siecle;milieu 18e siecle,50.098300914, 1.63926531904"
Amiens,Hauts-de-France,Somme,Couvent de la Visitation-Sainte-Marie,19e siecle,49.8838173319, 2.30617208499
"Heucourt-Croquoison,Hauts-de-France,Somme,Manoir de Croquoison,15e siecle;17e siecle;18e siecle,49.9213363805, 1.88101509695"
"Daours,Hauts-de-France,Somme,Usine du Parquet Loutre,4e quart 19e siecle;1er quart 20e siecle,49.9077374614, 2.457979671"
Fontaine-sur-Somme,Hauts-de-France,Somme,Chateau de Vieulaines,milieu 18e siecle,50.0241861023, 1.96022527915
Berteaucourt-les-Dames,Hauts-de-France,Somme,Ancienne maison abbatiale,2e moitie 18e siecle,50.050147, 2.155725
Fremontiers,Hauts-de-France,Somme,Moulin,1er quart 19e siecle,49.7587845464, 2.07389542596
Abbeville,Hauts-de-France,Somme,Carriere Carpentier,Paleolithique ancien,50.1064396461, 1.84765297642
Amiens,Hauts-de-France,Somme,Gisement de Saint-Acheul,Prehistoire,49.8774957866, 2.33122949267
"Miannay,Hauts-de-France,Somme,Manoir,16e siecle;17e siecle;18e siecle,50.0954086531, 1.7184810632"
"Vauvillers,Hauts-de-France,Somme,Eglise Saint-Eloi,4e quart 12e siecle;16e siecle;17e siecle;18e siecle,49.8485083101, 2.70303060089"
Mailly-Maillet,Hauts-de-France,Somme,Chapelle sepulcrale des Mailly,18e siecle,50.0739761919, 2.60717012447
Rancourt,Hauts-de-France,Somme,Cimetiere allemand,20e siecle,49.99632604, 2.90416477588
"Saint-Fuscien,Hauts-de-France,Somme,Abbaye,17e siecle;18e siecle,49.8359701203, 2.31465017286"
Saint-Valery-sur-Somme,Hauts-de-France,Somme,Entrepot aux sels,2e quart 18e siecle,50.1824164661, 1.6432373001
"Gamaches,Hauts-de-France,Somme,Ancien chateau,12e siecle;13e siecle,49.984334592, 1.55825986222"
Millencourt-en-Ponthieu,Hauts-de-France,Somme,Eglise Saint-Martin,3e quart 17e siecle,50.1533615259, 1.89635279307
Saint-Riquier,Hauts-de-France,Somme,Restes de la tour Margot,15e siecle,50.1366483822, 1.94995218207
Louvencourt,Hauts-de-France,Somme,Cimetiere britannique,20e siecle,50.0892810038, 2.5038997351
"Davenescourt,Hauts-de-France,Somme,Domaine de Davenescourt,4e quart 18e siecle;2e quart 19e siecle,49.7134801965, 2.59735599318"
Amiens,Hauts-de-France,Somme,Maisons,limite 17e siecle 18e siecle,49.894729805, 2.30765713318
"Tailly,Hauts-de-France,Somme,Domaine de Tailly-l'arbre-à&nbsp;-mouches,2e quart 18e siecle,49.9305118473, 1.93896352566"
Abbeville,Hauts-de-France,Somme,Carriere de Menchecourt,Paleolithique ancien,50.1182214665, 1.82361962944
Amiens,Hauts-de-France,Somme,Bibliotheque municipale,19e siecle,49.8899725912, 2.29464698006
"Monchy-Lagache,Hauts-de-France,Somme,Eglise Saint-Pierre,12e siecle;13e siecle;1ere moitie 20e siecle,49.8538759236, 3.04515578343"
"Louvrechy,Hauts-de-France,Somme,Eglise Saint-Martin,15e siecle;16e siecle,49.7333634373, 2.3947073879"
"Amiens,Hauts-de-France,Somme,Beffroi,15e siecle;18e siecle,49.8954559813, 2.2960328079"
Abbeville,Hauts-de-France,Somme,Ancien couvent des Ursulines,17e siecle,50.107503493, 1.83777166721
Coullemelle,Hauts-de-France,Somme,Eglise Saint-Nicolas,1ere moitie 20e siecle,49.6674587433, 2.42471785777
Amiens,Hauts-de-France,Somme,Onze maisons anciennes du quartier Saint-Leu,17e siecle,49.8963225614, 2.3048838946
Amiens,Hauts-de-France,Somme,Eglise Sainte-Anne,19e siecle,49.8874191171, 2.30767705216
Abbeville,Hauts-de-France,Somme,Ancienne manufacture des Rames,18e siecle,50.1102498629, 1.8228675559
Longueau,Hauts-de-France,Somme,Cite-jardin dite du Chateau Tourtier,1ere moitie 20e siecle,49.876477093, 2.35108839228
Clairy-Saulchoix,Hauts-de-France,Somme,Domaine du Saulchoix (egalement sur commune de Revelles),17e siecle,49.8528421988, 2.13755676802
"Frettecuisse,Hauts-de-France,Somme,Chapelle des Templiers à&nbsp; Ecoreau,12e siecle,49.9149560749, 1.80482656086"
Toutencourt,Hauts-de-France,Somme,Motte feodale,Moyen Age,50.0335879855, 2.45689307442
Amiens,Hauts-de-France,Somme,Moulin Passe-Arriere,17e siecle,49.9007753694, 2.30052216273
Argoules,Hauts-de-France,Somme,Ancienne abbaye de Valloires,18e siecle,50.3472908276, 1.81878807931
"Bertangles,Hauts-de-France,Somme,Eglise Saint-Vincent,1er quart 17e siecle;1er quart 19e siecle,49.9718113432, 2.30032239666"
Belloy-sur-Somme,Hauts-de-France,Somme,Chateau d'En-Bas,19e siecle,49.9607555307, 2.13220317046
"Villers-sur-Authie,Hauts-de-France,Somme,Eglise de l'Assomption,13e siecle;16e siecle,50.3175944939, 1.69113698819"
Thiepval,Hauts-de-France,Somme,Mill Road Cemetery,20e siecle,50.0610161942, 2.68375448965
Amiens,Hauts-de-France,Somme,Cirque municipal,4e quart 19e siecle,49.888109848, 2.29575439057
"Rue,Hauts-de-France,Somme,Chapelle du Saint-Esprit,15e siecle;16e siecle,50.2730187182, 1.6675430168"
Noyelles-sur-Mer,Hauts-de-France,Somme,Cimetiere chinois de Nolette,20e siecle,50.1860858093, 1.72272072446
"Hesbecourt,Hauts-de-France,Somme,Monument commemoratif de l'ancienne Assemblee du Desert des Protestants situe à&nbsp; La Boite à&nbsp; Cailloux,2e quart 20e siecle,49.948233738, 3.1591905564"
"Authuille;Thiepval,Hauts-de-France,Somme,Memorial britannique de Thiepval dit Memorial to the Missing,20e siecle,50.0505682689, 2.68569826918"
"Albert,Hauts-de-France,Somme,Basilique de Notre-Dame-de-Brebieres,4e quart 19e siecle;2e quart 20e siecle,50.0041230595, 2.64829404788"
Doullens,Hauts-de-France,Somme,Chapelle funeraire Maille-Lansorne,1ere moitie 19e siecle,50.1553059594, 2.35097421943
